,Week,Account size,Phase,Passing Rate
83,2026-02-15,All,Funded,0.5
33,2026-02-15,Jupiter,Phase 1,0.28
34,2026-02-15,Jupiter,Phase 2,0.48
23,2026-02-15,Neptune,Funded,0.49
22,2026-02-15,Neptune,Phase 2,0.38
21,2026-02-15,Neptune,Phase 1,0.25
35,2026-02-15,Jupiter,Funded,0.5
58,2026-02-15,Mars,Phase 2,0.42
57,2026-02-15,Mars,Phase 1,0.27
69,2026-02-15,Pluto,Phase 1,0.22
70,2026-02-15,Pluto,Phase 2,0.31
71,2026-02-15,Pluto,Funded,0.72
59,2026-02-15,Mars,Funded,0.47
10,2026-02-15,Saturn,Phase 2,0.49
9,2026-02-15,Saturn,Phase 1,0.29
81,2026-02-15,All,Phase 1,0.27
82,2026-02-15,All,Phase 2,0.42
47,2026-02-15,Venus,Funded,0.57
11,2026-02-15,Saturn,Funded,0.45
46,2026-02-15,Venus,Phase 2,0.36
45,2026-02-15,Venus,Phase 1,0.2
31,2026-02-22,Jupiter,Phase 2,0.41
32,2026-02-22,Jupiter,Funded,0.42
54,2026-02-22,Mars,Phase 1,0.22
42,2026-02-22,Venus,Phase 1,0.31
56,2026-02-22,Mars,Funded,0.33
30,2026-02-22,Jupiter,Phase 1,0.24
55,2026-02-22,Mars,Phase 2,0.52
44,2026-02-22,Venus,Funded,0.33
43,2026-02-22,Venus,Phase 2,0.43
66,2026-02-22,Pluto,Phase 1,0.23
80,2026-02-22,All,Funded,0.45
67,2026-02-22,Pluto,Phase 2,0.17
20,2026-02-22,Neptune,Funded,0.42
19,2026-02-22,Neptune,Phase 2,0.41
18,2026-02-22,Neptune,Phase 1,0.37
68,2026-02-22,Pluto,Funded,0.27
79,2026-02-22,All,Phase 2,0.42
78,2026-02-22,All,Phase 1,0.28
8,2026-02-22,Saturn,Funded,0.57
7,2026-02-22,Saturn,Phase 2,0.46
6,2026-02-22,Saturn,Phase 1,0.29
64,2026-03-01,Pluto,Phase 2,0.39
53,2026-03-01,Mars,Funded,0.5
76,2026-03-01,All,Phase 2,0.55
63,2026-03-01,Pluto,Phase 1,0.24
75,2026-03-01,All,Phase 1,0.3
52,2026-03-01,Mars,Phase 2,0.43
65,2026-03-01,Pluto,Funded,0.36
77,2026-03-01,All,Funded,0.49
51,2026-03-01,Mars,Phase 1,0.29
41,2026-03-01,Venus,Funded,0.69
15,2026-03-01,Neptune,Phase 1,0.21
17,2026-03-01,Neptune,Funded,0.42
40,2026-03-01,Venus,Phase 2,0.58
39,2026-03-01,Venus,Phase 1,0.27
3,2026-03-01,Saturn,Phase 1,0.39
4,2026-03-01,Saturn,Phase 2,0.64
29,2026-03-01,Jupiter,Funded,0.43
5,2026-03-01,Saturn,Funded,0.51
16,2026-03-01,Neptune,Phase 2,0.53
28,2026-03-01,Jupiter,Phase 2,0.62
27,2026-03-01,Jupiter,Phase 1,0.29
72,2026-03-08,All,Phase 1,0.29
73,2026-03-08,All,Phase 2,0.5
49,2026-03-08,Mars,Phase 2,0.35
13,2026-03-08,Neptune,Phase 2,0.62
2,2026-03-08,Saturn,Funded,0.47
1,2026-03-08,Saturn,Phase 2,0.56
74,2026-03-08,All,Funded,0.47
12,2026-03-08,Neptune,Phase 1,0.28
24,2026-03-08,Jupiter,Phase 1,0.29
50,2026-03-08,Mars,Funded,0.38
25,2026-03-08,Jupiter,Phase 2,0.45
26,2026-03-08,Jupiter,Funded,0.54
62,2026-03-08,Pluto,Funded,0.56
61,2026-03-08,Pluto,Phase 2,0.58
60,2026-03-08,Pluto,Phase 1,0.2
36,2026-03-08,Venus,Phase 1,0.37
37,2026-03-08,Venus,Phase 2,0.33
38,2026-03-08,Venus,Funded,0.4
48,2026-03-08,Mars,Phase 1,0.22
14,2026-03-08,Neptune,Funded,0.46
0,2026-03-08,Saturn,Phase 1,0.36
