,Date,Execution Group,Volume $m,PnL $k ($/M),PnL ($/M),week_end_str,week_end,realized_vol,vol_bucket,vol_pct,regime_penalty,neg_week,neg_streak,pct_change,large_drop,drawdown,drawdown_penalty,score_neg_week,score_streak,score_large_drop,score_drawdown,score_regime,risk_score,rolling_4w_pnl,median_pnl,structural_break,risk_flag
1,2025-08-10,Broker,340.5,54.8,161,,2025-08-10,0.12257981537870892,Med-High,0.61875,0.0,0,0.0,,0,,,0,0.0,0,,0.0,,,55.5,False,Monitor
9,2025-08-17,Broker,295.2,14.4,49,,2025-08-17,0.09254451136717295,Med-Low,0.45208333333333334,0.0,0,0.0,-0.6956521739130435,1,,,0,0.0,100,,0.0,,,55.5,False,Monitor
17,2025-08-24,Broker,339.4,42.4,125,,2025-08-24,0.13407696413924775,High,0.81875,0.0,0,0.0,1.5510204081632653,0,,,0,0.0,0,,0.0,,,55.5,False,Monitor
25,2025-08-31,Broker,469.2,31.4,67,,2025-08-31,0.0760143646578358,Med-Low,0.3854166666666667,0.0,0,0.0,-0.46399999999999997,0,-0.5838509316770186,0.5838509316770186,0,0.0,0,58.38509316770186,0.0,14.596273291925465,100.5,55.5,False,Normal
33,2025-09-07,Broker,405.9,82.6,204,,2025-09-07,0.11254485179518908,Med-High,0.5520833333333334,0.0,0,0.0,2.044776119402985,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,111.25,55.5,False,Normal
41,2025-09-14,Broker,397.4,63.4,160,,2025-09-14,0.052047756014870473,Low,0.15208333333333332,0.0,0,0.0,-0.21568627450980393,0,-0.21568627450980393,0.21568627450980393,0,0.0,0,21.568627450980394,0.0,5.392156862745098,139.0,55.5,False,Normal
49,2025-09-21,Broker,469.0,10.8,23,,2025-09-21,0.051538102904751144,Low,0.11875,0.0,0,0.0,-0.85625,1,-0.8872549019607843,0.8872549019607843,0,0.0,100,88.72549019607843,0.0,37.181372549019606,113.5,55.5,False,Monitor
57,2025-09-28,Broker,640.6,9.9,15,,2025-09-28,0.08544714786911968,Med-Low,0.41875,0.0,0,0.0,-0.34782608695652173,0,-0.9264705882352942,0.9264705882352942,0,0.0,0,92.64705882352942,0.0,23.161764705882355,100.5,55.5,False,Normal
65,2025-10-05,Broker,472.1,10.8,23,,2025-10-05,0.027786338240168466,Low,0.01875,0.0,0,0.0,0.5333333333333334,0,-0.8872549019607843,0.8872549019607843,0,0.0,0,88.72549019607843,0.0,22.181372549019606,55.25,55.5,True,Normal
73,2025-10-12,Broker,725.7,47.6,66,,2025-10-12,0.2080789483686624,High,0.9520833333333333,0.0,0,0.0,1.8695652173913042,0,-0.6764705882352942,0.6764705882352942,0,0.0,0,67.64705882352942,0.0,16.911764705882355,31.75,55.5,True,Normal
81,2025-10-19,Broker,560.7,-1.5,-3,,2025-10-19,0.13074188660283684,Med-High,0.71875,0.0,1,1.0,-1.0454545454545454,1,-1.0147058823529411,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,25.25,55.5,True,Implement Changes
89,2025-10-26,Broker,1821.1,352.5,194,,2025-10-26,0.10221926144940825,Med-Low,0.48541666666666666,0.0,0,0.0,-65.66666666666667,1,-0.049019607843137254,0.049019607843137254,0,0.0,100,4.901960784313726,0.0,16.225490196078432,70.0,55.5,False,Normal
97,2025-11-02,Broker,1231.2,139.0,113,,2025-11-02,0.12568346092075222,Med-High,0.6854166666666667,0.0,0,0.0,-0.41752577319587625,0,-0.4175257731958763,0.4175257731958763,0,0.0,0,41.75257731958763,0.0,10.438144329896907,92.5,55.5,False,Normal
105,2025-11-09,Broker,1006.5,52.2,52,,2025-11-09,0.11974632839262213,Med-High,0.5854166666666667,0.0,0,0.0,-0.5398230088495575,1,-0.7319587628865979,0.7319587628865979,0,0.0,100,73.19587628865979,0.0,33.29896907216495,89.0,55.5,False,Monitor
113,2025-11-16,Broker,955.4,50.4,53,,2025-11-16,0.1803096301382568,High,0.8854166666666666,0.0,0,0.0,0.019230769230769162,0,-0.7268041237113402,0.7268041237113402,0,0.0,0,72.68041237113401,0.0,18.170103092783503,103.0,55.5,False,Normal
120,2025-11-23,Broker,1170.0,98.9,85,,2025-11-23,0.16453235188057275,High,0.8520833333333333,0.0,0,0.0,0.6037735849056605,0,-0.5618556701030928,0.5618556701030928,0,0.0,0,56.18556701030928,0.0,14.04639175257732,75.75,55.5,False,Normal
128,2025-11-30,Broker,793.0,86.3,109,,2025-11-30,0.07060263901133174,Med-Low,0.28541666666666665,0.0,0,0.0,0.2823529411764707,0,-0.4381443298969072,0.4381443298969072,0,0.0,0,43.81443298969072,0.0,10.95360824742268,74.75,55.5,False,Normal
136,2025-12-07,Broker,1060.0,101.8,96,,2025-12-07,0.05395725477550715,Low,0.18541666666666667,0.0,0,0.0,-0.11926605504587151,0,-0.5051546391752577,0.5051546391752577,0,0.0,0,50.51546391752577,0.0,12.628865979381443,85.75,55.5,False,Normal
144,2025-12-14,Broker,964.0,68.6,71,,2025-12-14,0.10312133231479426,Med-High,0.51875,0.0,0,0.0,-0.26041666666666663,0,-0.634020618556701,0.634020618556701,0,0.0,0,63.4020618556701,0.0,15.850515463917525,90.25,55.5,False,Normal
152,2025-12-21,Broker,933.0,46.9,50,,2025-12-21,0.13353524112466286,High,0.7854166666666667,0.0,0,0.0,-0.295774647887324,0,-0.5575221238938053,0.5575221238938053,0,0.0,0,55.75221238938053,0.0,13.938053097345133,81.5,55.5,False,Normal
